0,3885,Video Call,2020-08-16 00:20:47,11
1,5485,SMS,2021-01-13 01:22:33,45
2,3155,SMS,2020-11-02 08:50:25,31
3,4402,SMS,2020-12-17 22:18:51,31
4,545,Video Call,2021-10-10 17:32:27,19
5,3003,Call,2021-03-15 10:59:33,29
6,3593,Call,2021-09-25 01:12:04,16
7,5163,SMS,2021-05-07 15:52:59,36
8,3521,SMS,2021-09-23 23:24:54,43
9,547,Video Call,2021-06-11 16:47:22,35
10,961,Call,2020-08-06 05:25:49,30
11,1280,Call,2020-01-26 20:02:36,21
12,1090,Video Call,2021-02-22 05:09:03,39
13,1246,SMS,2020-09-14 06:50:27,29
14,5482,Call,2020-11-14 07:35:21,54
15,4557,Call,2021-06-07 05:48:20,42
16,4468,Call,2021-07-26 22:48:13,3
17,1980,Call,2021-07-19 06:12:12,45
18,2648,SMS,2020-07-09 11:22:40,41
19,5358,Call,2020-10-12 17:51:56,45
20,1927,SMS,2021-09-26 23:51:43,15
21,5082,SMS,2020-12-31 22:11:18,22
22,3758,Video Call,2020-05-07 20:10:37,42
23,4296,Call,2021-07-09 17:19:28,2
24,4284,SMS,2020-01-20 02:30:53,26
25,3152,Call,2021-05-25 17:34:54,55
26,1329,Call,2021-07-08 18:46:59,25
27,3299,Video Call,2020-04-11 18:16:24,11
28,3014,Video Call,2020-11-09 17:15:04,27
29,2739,Call,2020-08-29 12:21:08,15
30,220,SMS,2021-07-29 20:25:55,60
31,3107,Call,2021-05-07 16:01:00,38
32,5012,SMS,2020-08-15 23:49:33,39
33,5393,SMS,2020-03-25 03:48:31,19
34,812,Call,2021-10-26 19:37:57,11
35,3887,SMS,2021-09-24 07:24:31,28
36,1617,SMS,2021-11-09 18:51:04,3
37,822,Video Call,2020-08-28 04:04:42,2
38,1866,SMS,2020-09-05 01:12:12,55
39,2907,Call,2021-08-24 22:07:37,1
40,4448,Call,2021-05-21 20:25:34,26
41,218,Call,2021-11-08 21:56:58,40
42,3971,Video Call,2020-12-28 11:41:49,17
43,687,Call,2021-03-25 23:49:04,1
44,3235,Call,2021-05-14 23:08:04,26
45,2241,SMS,2020-08-05 23:19:55,58
46,2526,SMS,2021-10-16 11:58:16,27
47,2435,Video Call,2021-10-31 20:04:23,32
48,5300,Call,2022-01-03 10:03:21,28
49,1341,Call,2021-10-31 00:22:28,4
50,1023,SMS,2020-04-05 01:00:34,6
51,1976,Call,2020-03-03 17:23:12,18
52,4389,Call,2020-11-18 19:48:56,57
53,3210,SMS,2021-04-22 05:32:24,29
54,1093,Call,2022-01-04 04:20:28,43
